Sample_Type,Resonance_Freq_Hz,Peak_Amplitude_V,Q_Factor
24K Gold,985432,0.98,87.5
24K Gold,976521,0.95,85.2
24K Gold,992847,1.02,89.1
24K Gold,978654,0.97,86.8
24K Gold,987321,0.99,88.3
24K Gold,975468,0.96,84.9
24K Gold,991234,1.01,87.7
24K Gold,982345,0.98,86.4
24K Gold,988765,1.00,88.9
24K Gold,976543,0.95,85.6
22K Gold,892345,0.89,76.8
22K Gold,887654,0.87,75.2
22K Gold,895432,0.91,78.1
22K Gold,883211,0.86,74.5
22K Gold,898765,0.92,77.3
22K Gold,885678,0.88,75.9
22K Gold,892134,0.90,76.4
22K Gold,887923,0.87,74.8
22K Gold,896543,0.91,77.8
22K Gold,884567,0.86,75.1
18K Gold,765432,0.72,62.3
18K Gold,762345,0.71,61.8
18K Gold,768987,0.74,63.5
18K Gold,761234,0.70,60.9
18K Gold,767890,0.73,62.7
18K Gold,763456,0.72,61.4
18K Gold,766789,0.73,62.1
18K Gold,762134,0.71,61.2
18K Gold,768543,0.74,63.8
18K Gold,761987,0.70,60.7
14K Gold,654321,0.58,48.9
14K Gold,652345,0.57,48.2
14K Gold,657890,0.59,49.7
14K Gold,651234,0.56,47.5
14K Gold,656789,0.58,49.1
14K Gold,653456,0.57,48.4
14K Gold,655678,0.58,48.7
14K Gold,652134,0.56,47.8
14K Gold,657234,0.59,49.3
14K Gold,651876,0.56,47.2
Gold Plated,543210,0.45,35.6
Gold Plated,541987,0.44,34.8
Gold Plated,545678,0.46,36.2
Gold Plated,542345,0.45,35.1
Gold Plated,544567,0.46,35.9
Gold Plated,541234,0.44,34.5
Gold Plated,546789,0.47,36.7
Gold Plated,543456,0.45,35.3
Gold Plated,542198,0.44,34.9
Gold Plated,545432,0.46,36.1
Copper,456789,0.52,42.3
Copper,454321,0.51,41.8
Copper,458765,0.53,43.1
Copper,455432,0.52,42.5
Copper,457890,0.53,42.9
Copper,454567,0.51,41.6
Copper,459123,0.54,43.4
Copper,456234,0.52,42.1
Copper,455678,0.52,42.7
Copper,457345,0.53,43.2
Brass,523456,0.48,38.7
Brass,521987,0.47,38.1
Brass,525678,0.49,39.3
Brass,522345,0.48,38.5
Brass,524567,0.49,39.1
Brass,521234,0.47,37.9
Brass,526789,0.50,39.7
Brass,523456,0.48,38.4
Brass,522198,0.47,38.2
Brass,525432,0.49,39.5
Steel,387654,0.38,28.9
Steel,385432,0.37,28.3
Steel,389876,0.39,29.5
Steel,386543,0.38,28.7
Steel,388765,0.39,29.2
Steel,385678,0.37,28.1
Steel,389234,0.39,29.8
Steel,387123,0.38,28.6
Steel,386789,0.38,28.9
Steel,388456,0.39,29.4
Fake Alloy,412345,0.41,31.2
Fake Alloy,410987,0.40,30.6
Fake Alloy,414567,0.42,32.1
Fake Alloy,411234,0.41,30.9
Fake Alloy,413456,0.42,31.8
Fake Alloy,410567,0.40,30.4
Fake Alloy,415678,0.43,32.5
Fake Alloy,412789,0.41,31.1
Fake Alloy,411876,0.40,30.7
Fake Alloy,414321,0.42,32.3
Bronze,478965,0.46,36.8
Bronze,476543,0.45,36.2
Bronze,481234,0.47,37.4
Bronze,477890,0.46,36.7
Bronze,479876,0.47,37.1
Bronze,476234,0.45,36.1
Bronze,482345,0.48,37.8
Bronze,478567,0.46,36.5
Bronze,477123,0.45,36.3
Bronze,480987,0.47,37.6
24K Gold,989876,1.01,88.7
24K Gold,975432,0.96,85.1
24K Gold,993456,1.03,89.4
22K Gold,891234,0.88,76.1
22K Gold,886789,0.86,74.9
18K Gold,764321,0.71,61.7
18K Gold,769876,0.75,64.2
14K Gold,653789,0.57,48.1
14K Gold,658765,0.60,49.8
Gold Plated,544321,0.45,35.4
Gold Plated,547654,0.47,36.8
Copper,455987,0.51,41.9
Copper,459876,0.54,43.6
Brass,524321,0.48,38.8
Brass,527654,0.50,39.9
Steel,386234,0.37,28.4
Steel,390123,0.40,29.9
Fake Alloy,411987,0.40,30.5
Fake Alloy,416543,0.43,32.7
Bronze,477654,0.45,36.4
Bronze,483456,0.48,38.1
